('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      169    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    169/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap_external>:1020(exec_module)
      169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      169    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      169    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
      169    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      169    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      169    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      169    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      151    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      144    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      138    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      135    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      134    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      131    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
      130    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      129    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
  125/107    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      125    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
      125    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      122    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
      122    0.000    0.000    0.000    0.000 <frozen _collections_abc>:850(__init__)
      120    0.000    0.000    0.001    0.000 _lxml.py:454(comment)
      117    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      111    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      110    0.000    0.000    0.000    0.000 enum.py:1333(value)
      110    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      104    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
       99    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       94    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       89    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
    84/82    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
